,Pitcher,pitcherId,team,Total,Hand,Stf+ FA,Stf+ SL,Stf+ CU,Stf+ FC,Stf+ SI,Stf+ CH,Stf+ FS,Stuff+
256,W. Jones,1079462144,CHAR,409,R,111,113,,103,,108,,108
257,E. Garcia,1079520512,IW,351,R,94,103,113,97,92,92,,97
258,S. Linde,1079546369,BUT,222,R,90,106,,95,90,,,96
259,S. Zaslaw,1079774720,BRY,356,R,99,108,101,,,,,103
260,Z. Bretza,1079826688,BALL,315,R,104,101,,,,,,103
261,C. OBrien,1080063269,LIP,55,R,,108,,,,,,108
262,D. McDowell,1080175348,SDST,92,R,100,110,,,,,,106
263,R. Bibb,1080260352,NAVY,139,R,108,87,,,,,,103
264,T. Murphy,1080328025,BALL,95,R,91,113,,,,,,104
265,N. Valdez,1080345600,UCD,983,R,101,98,,107,,119,,107
266,J. Cirelli,1080345856,BRAD,794,R,90,81,62,86,90,92,,88
267,K. Smathers,1080828277,CBU,363,R,93,108,,,,,,101
268,R. Kidd,1080830976,WMU,333,R,100,106,105,99,,105,,102
269,C. Diaz,1080931840,TXST,30,R,110,,,,,,,110
270,O. MacDonnell,1081124352,LA S,351,L,84,101,,,,113,,94
271,B. Susce,1081427528,JMU,249,R,92,98,,,,,,95
272,J. Greeley,1081435392,MSU,280,R,96,87,,,,,,93
273,M. Ulsh,1081437952,QUIN,266,R,97,102,,,99,103,,100
274,J. Trombley,1081801472,UCF,225,R,100,,98,94,,106,,100
275,B. Shaffer,1081853626,CAMP,409,R,120,110,113,,,,,116
276,S. Fitzpatrick,1082403072,ASU,334,L,127,119,,,,,,122
277,L. Scholl,1082446389,MRST,58,R,109,,,,,,,109
278,M. Savarese,1082533519,PITT,263,R,104,,,96,,,106,103
279,G. LeBlanc,1083030440,SFA,312,R,92,107,,,86,,,97
280,B. Barnes,1083140608,NMSU,529,L,99,102,,,,98,,100
281,C. Lardi,1083428695,SIU,30,L,98,,,,,,,98
282,N. Kemp,1083465472,UOST,90,R,95,,93,,,,,94
283,N. McCracken,1083586720,MEM,311,R,118,109,,101,,,,108
284,M. Sarhatt,1083913728,IND,381,R,101,118,114,,,104,,109
285,C. Finnvold,1084023808,VILL,177,L,85,,,121,,114,,100
286,S. Huntsberger,1084025856,WCU,101,R,90,,,101,,,,95
287,D. Kampschror,1084028928,UVA,57,L,91,106,,,,,,99
288,E. Nardacci,1084064541,ALBY,282,R,103,104,,84,,,,101
289,K. Eberly,1084079616,TXST,186,R,85,,,,,,98,92
290,T. Chmielewski,1084343041,UNC,259,L,97,111,105,,,,,102
291,T. Timmerman,1084375296,NEB,508,R,,100,,103,96,98,,99
292,S. Wendt,1084375552,CREI,769,R,111,101,94,103,,104,,106
293,R. Harrahill,1084375808,NEB,214,R,95,106,,,97,,,99
294,D. Deremer,1084376320,MURR,587,R,97,100,98,96,109,100,,98
295,E. Shapiro,1084390912,WMU,224,R,102,,,,,123,,109
296,H. Calhoun,1084391680,MISS,668,R,127,106,,103,,106,,112
